Date,Open,High,Low,Close,Quantity,PERatio
20120210,36.55,37.35,36.40,37.25,42478816,14.84
20120213,37.70,38.15,37.65,37.95,32478264,15.12
20120214,37.85,37.85,36.45,36.70,20790774,14.62
20120215,36.50,37.05,36.40,36.95,13878590,14.72
20120216,37.00,37.20,36.70,36.90,30929769,14.70
20120217,37.20,37.75,36.90,37.15,15812377,14.80
20120220,37.80,38.15,37.60,37.85,27495541,15.08
20120221,38.00,38.00,37.30,37.60,13769202,14.98
20120222,37.65,37.80,37.30,37.75,14256589,15.04
20120223,37.70,37.70,37.10,37.60,14218547,14.98
20120224,37.60,37.60,37.00,37.20,16893236,14.82
20120229,37.60,37.90,37.40,37.75,13576117,15.04
20120301,37.90,37.90,37.25,37.25,10077822,14.84
20120302,37.50,37.50,37.10,37.20,11218008,14.82
20120303,37.20,37.20,36.75,37.00,4582102,14.74
20120305,37.10,37.30,36.50,36.65,9494733,14.60
20120306,36.40,36.65,35.00,35.55,20153727,14.16
20120307,35.00,35.80,35.00,35.55,8110775,14.16
20120308,35.85,35.85,35.50,35.80,6068111,14.26
20120309,35.95,35.95,35.55,35.85,8376278,14.28
20120312,35.90,35.90,35.10,35.10,9196045,13.98
20120313,35.25,35.55,35.20,35.25,9740108,14.04
20120314,35.50,35.75,34.95,35.25,15128552,14.04
20120315,35.00,35.30,35.00,35.15,11447438,14.00
20120316,35.50,36.00,35.15,36.00,10096074,14.34
20120319,36.00,36.10,35.20,35.50,5763892,14.14
20120320,35.90,35.90,35.10,35.10,7331027,13.98
20120321,35.10,35.40,35.00,35.15,10428100,14.00
20120322,35.50,35.50,35.15,35.45,16128528,14.12
20120323,35.50,35.50,35.10,35.25,12190714,14.04
20120326,35.20,35.20,33.75,34.00,29633739,13.55
20120327,34.00,34.25,33.80,34.20,22006838,13.63
20120328,34.75,34.80,34.20,34.60,7629255,13.78
20120329,34.60,34.60,33.95,34.40,10831296,13.71
20120330,34.40,34.55,34.00,34.55,6666636,13.76
20120402,34.50,34.55,33.90,34.20,15055260,14.68
20120403,34.30,34.60,33.95,34.40,12344876,14.76
20120405,33.75,34.55,33.75,34.25,25191111,14.70
20120406,34.35,34.80,34.10,34.50,7955744,14.81
20120409,34.10,35.20,34.00,34.50,10376551,14.81
20120410,34.65,35.25,34.65,34.85,8338836,14.96
20120411,34.75,35.15,34.60,34.85,14270920,14.96
