Date,Open
2016/4/26,120.6
2016/4/27,122.5
2016/4/28,122.5
2016/4/29,121
2016/5/2,119.35
2016/5/3,121.6
2016/5/4,119.8
2016/5/5,117
2016/5/6,116.55
2016/5/9,118.9
2016/5/10,119
2016/5/11,117
2016/5/12,117.75
2016/5/13,118
2016/5/16,119.55
2016/5/17,121
2016/5/18,120
2016/5/19,120
2016/5/20,119.9
2016/5/23,120.5
2016/5/24,121.7
2016/5/25,120
2016/5/26,120
2016/5/27,118.1
2016/5/30,118
2016/5/31,117.8
2016/6/1,118.2
2016/6/2,118.5
2016/6/3,120.95
2016/6/6,120.35
2016/6/7,119.4
2016/6/8,119.3
2016/6/9,127.3
2016/6/10,125.3
2016/6/13,122
2016/6/14,129.4
2016/6/15,127.25
2016/6/16,126.9
2016/6/17,126.5
2016/6/20,124.55
2016/6/21,126.3
2016/6/22,125.6
2016/6/23,127.5
2016/6/24,120.5
2016/6/27,124.75
2016/6/28,127.5
2016/6/29,128.15
2016/6/30,130.5
2016/7/1,132
2016/7/4,135.6
2016/7/5,134.25
2016/7/7,133.5
